NOMBRE;DNI;FECHA_NACIMIENTO;ESTADO_CIVIL;NUMERO_HIJOS;DIRECCION;DISTRITO;TELEFONO;EMAIL;BANCO;CUENTA_BANCARIA;CCI;FECHA_INGRESO;TIPO;FECHA_CAMBIO_SOCIO;OBSERVACIONES
EDITH;34560124;15/11/1993;Soltero(a);0;Calle Tumbes 486;Lima;997111000;edith@email.com;Scotiabank;3,33344E+15;9,33334E+17;03/04/2023;Junior;;Asesora dedicada
JOSE CARLOS;45601235;29/02/1989;Conviviente;0;Jr. Loreto 753;Lima;997000999;jose.carlos@email.com;BBVA;4,44456E+15;1,44446E+17;03/05/2023;Junior;;Asesor profesional
NERY;56012346;12/08/1984;Casado(a);1;Av. Ucayali 159;Lima;996999888;nery@email.com;BCP;5,55567E+15;2,55557E+17;03/06/2023;Junior;;Líder de equipo
MELANY;60123451;25/04/1990;Soltero(a);0;Calle Madre de Dios 951;Lima;996888777;melany@email.com;Interbank;6,66678E+15;3,66668E+17;03/07/2023;Junior;;Asesora motivada
BRENDA;1234562;03/10/1987;Casado(a);1;Jr. Amazonas 357;Lima;996777666;brenda@email.com;Scotiabank;7,77789E+15;9,77779E+17;03/08/2023;Junior;;Closer confiable
KATIA;12345603;17/06/1992;Soltero(a);0;Av. San Martín 486;Lima;996666555;katia@email.com;BBVA;8,889E+15;1,8889E+17;03/09/2023;Junior;;Asesora comprometida
MARILYN;23456014;08/01/1988;Conviviente;0;Calle Pasco 753;Lima;996555444;marilyn@email.com;BCP;9,999E+15;2,9999E+17;03/10/2023;Junior;;Especialista en ventas
JAIR;34560125;20/03/1985;Casado(a);2;Jr. Junín 159;Lima;996444333;jair@email.com;Interbank;1,11122E+11;3,00001E+17;03/11/2023;Junior;;Supervisor experimentado
LEONEL ;45601236;11/09/1991;Soltero(a);0;Av. Huancavelica 951;Lima;996333222;leonel@email.com;Scotiabank;1,11122E+15;9,11112E+17;03/12/2023;Junior;;Asesor dedicado
SAUL;56012347;26/05/1986;Casado(a);1;Calle Apurímac 357;Lima;996222111;saul@email.com;BBVA;2,22233E+15;1,22223E+17;04/01/2023;Junior;;Closer profesional
BRIAN;60123452;14/12/1993;Soltero(a);0;Jr. Ayacucho 486;Lima;996111000;brian@email.com;BCP;3,33344E+15;2,33334E+17;04/02/2023;Junior;;Asesor dinámico
MAYRA;1234563;01/07/1989;Conviviente;0;Av. Cusco 753;Lima;996000999;mayra@email.com;Interbank;4,44456E+15;3,44446E+17;04/03/2023;Junior;;Asesora proactiva
JAVIER HERRERA;12345604;23/11/1984;Casado(a);1;Calle Puno 159;Lima;995999888;javier.herrera@email.com;Scotiabank;5,55567E+15;9,55557E+17;04/04/2023;Junior;;Líder de ventas
ALAN;23456015;06/02/1990;Soltero(a);0;Jr. Tacna 951;Lima;995888777;alan@email.com;BBVA;6,66678E+15;1,66668E+17;04/05/2023;Junior;;Asesor comprometido
WENDY;34560126;19/08/1987;Casado(a);1;Av. Moquegua 357;Lima;995777666;wendy@email.com;BCP;7,77789E+15;2,77779E+17;04/06/2023;Junior;;Closer efectiva
FRANKLING;45601237;10/04/1992;Soltero(a);0;Calle Tumbes 486;Lima;995666555;frankling@email.com;Interbank;8,889E+15;3,8889E+17;04/07/2023;Junior;;Asesor motivado
JAVIER CASTRO;56012348;28/12/1988;Conviviente;0;Jr. Loreto 753;Lima;995555444;javier.castro@email.com;Scotiabank;9,999E+15;9,9999E+17;04/08/2023;Junior;;Especialista en captación
FRANCO;60123453;15/06/1985;Casado(a);2;Av. Ucayali 159;Lima;995444333;franco@email.com;BBVA;1,11122E+11;1,00001E+17;04/09/2023;Junior;;Supervisor de equipo
BRIAM;1234564;02/01/1991;Soltero(a);0;Calle Madre de Dios 951;Lima;995333222;briam@email.com;BCP;1,11122E+15;2,11112E+17;04/10/2023;Junior;;Asesor dedicado
LEONEL;12345605;21/05/1986;Casado(a);1;Jr. Amazonas 357;Lima;995222111;leonel@email.com;Interbank;2,22233E+15;3,22223E+17;04/11/2023;Junior;;Closer confiable
JANET;23456016;09/10/1993;Soltero(a);0;Av. San Martín 486;Lima;995111000;janet@email.com;Scotiabank;3,33344E+15;9,33334E+17;04/12/2023;Junior;;Asesora profesional
LESLY;34560127;24/03/1989;Conviviente;0;Calle Pasco 753;Lima;995000999;lesly@email.com;BBVA;4,44456E+15;1,44446E+17;05/01/2023;Junior;;Asesora dinámica
HENRY;45601238;07/09/1984;Casado(a);1;Jr. Junín 159;Lima;994999888;henry@email.com;BCP;5,55567E+15;2,55557E+17;05/02/2023;Junior;;Líder experimentado
LUIS MARIO;56012349;18/07/1990;Soltero(a);0;Av. Huancavelica 951;Lima;994888777;luis.mario@email.com;Interbank;6,66678E+15;3,66668E+17;05/03/2023;Junior;;Asesor comprometido
BERENICE;60123454;31/12/1987;Casado(a);1;Calle Apurímac 357;Lima;994777666;berenice@email.com;Scotiabank;7,77789E+15;9,77779E+17;05/04/2023;Junior;;Closer dedicada
VICTOR;1234565;13/04/1992;Soltero(a);0;Jr. Ayacucho 486;Lima;994666555;victor@email.com;BBVA;8,889E+15;1,8889E+17;05/05/2023;Junior;;Asesor motivado
ARICSA;12345606;26/08/1988;Conviviente;0;Av. Cusco 753;Lima;994555444;aricsa@email.com;BCP;9,999E+15;2,9999E+17;05/06/2023;Junior;;Asesora proactiva
ROLANDO;23456017;05/02/1985;Casado(a);2;Calle Puno 159;Lima;994444333;rolando@email.com;Interbank;1,11122E+11;3,00001E+17;05/07/2023;Junior;;Supervisor de ventas
FIORELLA;34560128;20/11/1991;Soltero(a);0;Jr. Tacna 951;Lima;994333222;fiorella@email.com;Scotiabank;1,11122E+15;9,11112E+17;05/08/2023;Junior;;Asesora dedicada
ASHLEY;45601239;12/06/1986;Casado(a);1;Av. Moquegua 357;Lima;994222111;ashley@email.com;BBVA;2,22233E+15;1,22223E+17;05/09/2023;Junior;;Closer efectiva
AHSLEY;56012340;03/01/1993;Soltero(a);0;Calle Tumbes 486;Lima;994111000;ahsley@email.com;BCP;3,33344E+15;2,33334E+17;05/10/2023;Junior;;Asesora confiable
XUANNY;60123455;25/05/1989;Conviviente;0;Jr. Loreto 753;Lima;994000999;xuanny@email.com;Interbank;4,44456E+15;3,44446E+17;05/11/2023;Junior;;Especialista en ventas
LUIS;1234566;16/10/1984;Casado(a);1;Av. Ucayali 159;Lima;993999888;luis@email.com;Scotiabank;5,55567E+15;9,55557E+17;05/12/2023;Junior;;Líder de equipo
RICARDO;12345607;08/03/1990;Soltero(a);0;Calle Madre de Dios 951;Lima;993888777;ricardo@email.com;BBVA;6,66678E+15;1,66668E+17;06/01/2023;Junior;;Asesor profesional
HEIDY;23456018;29/07/1987;Casado(a);1;Jr. Amazonas 357;Lima;993777666;heidy@email.com;BCP;7,77789E+15;2,77779E+17;06/02/2023;Junior;;Closer dedicada
CLAUDET;34560129;11/12/1992;Soltero(a);0;Av. San Martín 486;Lima;993666555;claudet@email.com;Interbank;8,889E+15;3,8889E+17;06/03/2023;Junior;;Asesora dinámica
FLAVIA;45601230;22/04/1988;Conviviente;0;Calle Pasco 753;Lima;993555444;flavia@email.com;Scotiabank;9,999E+15;9,9999E+17;06/04/2023;Junior;;Asesora comprometida
ANTONIO;56012341;04/09/1985;Casado(a);2;Jr. Junín 159;Lima;993444333;antonio@email.com;BBVA;1,11122E+11;1,00001E+17;06/05/2023;Junior;;Supervisor experimentado
SOFIA;60123456;17/01/1991;Soltero(a);0;Av. Huancavelica 951;Lima;993333222;sofia@email.com;BCP;1,11122E+15;2,11112E+17;06/06/2023;Junior;;Asesora motivada
ANGEL;1234567;30/06/1986;Casado(a);1;Calle Apurímac 357;Lima;993222111;angel@email.com;Interbank;2,22233E+15;3,22223E+17;06/07/2023;Junior;;Closer profesional
ALEJANDRO;12345608;21/11/1993;Soltero(a);0;Jr. Ayacucho 486;Lima;993111000;alejandro@email.com;Scotiabank;3,33344E+15;9,33334E+17;06/08/2023;Junior;;Asesor dedicado
OLIVER;23456019;12/05/1989;Conviviente;0;Av. Cusco 753;Lima;993000999;oliver@email.com;BBVA;4,44456E+15;1,44446E+17;06/09/2023;Junior;;Especialista en captación
SAMUEL;34560120;25/02/1984;Casado(a);1;Calle Puno 159;Lima;992999888;samuel@email.com;BCP;5,55567E+15;2,55557E+17;06/10/2023;Junior;;Líder de ventas
GABRIEL;45601231;06/08/1990;Soltero(a);0;Jr. Tacna 951;Lima;992888777;gabriel@email.com;Interbank;6,66678E+15;3,66668E+17;06/11/2023;Junior;;Asesor confiable
KIARA;56012342;19/03/1987;Casado(a);1;Av. Moquegua 357;Lima;992777666;kiara@email.com;Scotiabank;7,77789E+15;9,77779E+17;06/12/2023;Junior;;Closer efectiva
ZULMA;60123457;10/10/1992;Soltero(a);0;Calle Tumbes 486;Lima;992666555;zulma@email.com;BBVA;8,889E+15;1,8889E+17;07/01/2023;Junior;;Asesora proactiva
YOSELYN;1234568;23/07/1988;Conviviente;0;Jr. Loreto 753;Lima;992555444;yoselyn@email.com;BCP;9,999E+15;2,9999E+17;07/02/2023;Junior;;Asesora dedicada
DAYANA;12345609;14/12/1985;Casado(a);2;Av. Ucayali 159;Lima;992444333;dayana@email.com;Interbank;1,11122E+11;3,00001E+17;07/03/2023;Junior;;Supervisor de equipo
ANDRE;23456010;05/04/1991;Soltero(a);0;Calle Madre de Dios 951;Lima;992333222;andre@email.com;Scotiabank;1,11122E+15;9,11112E+17;07/04/2023;Junior;;Asesor dinámico
CAMILA;34560111;28/09/1986;Casado(a);1;Jr. Amazonas 357;Lima;992222111;camila@email.com;BBVA;2,22233E+15;1,22223E+17;07/05/2023;Junior;;Closer profesional
DAYANNA;45601232;18/01/1993;Soltero(a);0;Av. San Martín 486;Lima;992111000;dayanna@email.com;BCP;3,33344E+15;2,33334E+17;07/06/2023;Junior;;Asesora comprometida
FRANK;56012343;09/06/1989;Conviviente;0;Calle Pasco 753;Lima;992000999;frank@email.com;Interbank;4,44456E+15;3,44446E+17;07/07/2023;Junior;;Especialista en ventas
FABIOLA;60123458;22/11/1984;Casado(a);1;Jr. Junín 159;Lima;991999888;fabiola@email.com;Scotiabank;5,55567E+15;9,55557E+17;07/08/2023;Junior;;Líder experimentado
SERGIO;1234569;13/05/1990;Soltero(a);0;Av. Huancavelica 951;Lima;991888777;sergio@email.com;BBVA;6,66678E+15;1,66668E+17;07/09/2023;Junior;;Asesor motivado
KORIANCA;12345610;26/02/1987;Casado(a);1;Calle Apurímac 357;Lima;991777666;korianca@email.com;BCP;7,77789E+15;2,77779E+17;07/10/2023;Junior;;Closer dedicada
NAYSHA;23456011;07/08/1992;Soltero(a);0;Jr. Ayacucho 486;Lima;991666555;naysha@email.com;Interbank;8,889E+15;3,8889E+17;07/11/2023;Junior;;Asesora confiable
LIZETH;34560112;20/12/1988;Conviviente;0;Av. Cusco 753;Lima;991555444;lizeth@email.com;Scotiabank;9,999E+15;9,9999E+17;07/12/2023;Junior;;Asesora proactiva
CRISOSTOMO;45601233;11/03/1985;Casado(a);2;Calle Puno 159;Lima;991444333;crisostomo@email.com;BBVA;1,11122E+11;1,00001E+17;08/01/2023;Junior;;Supervisor de ventas
DAYANARA;56012344;24/07/1991;Soltero(a);0;Jr. Tacna 951;Lima;991333222;dayanara@email.com;BCP;1,11122E+15;2,11112E+17;08/02/2023;Junior;;Asesora dedicada
MASSIEL;60123459;15/10/1986;Casado(a);1;Av. Moquegua 357;Lima;991222111;massiel@email.com;Interbank;2,22233E+15;3,22223E+17;08/03/2023;Junior;;Closer efectiva
EMILY;1234560;06/04/1993;Soltero(a);0;Calle Tumbes 486;Lima;991111000;emily@email.com;Scotiabank;3,33344E+15;9,33334E+17;08/04/2023;Junior;;Asesora dinámica 
